// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\joffrey.dalet\Source\Repos\GIT\Git\fsharptests\MatrixVsTensor\MatrixVsTensor\bin\Release\netcoreapp2.1\64dec387-a46a-41d6-b187-ba1d6ac23082
// command took 3.21s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\joffrey.dalet\Source\Repos\GIT\Git\fsharptests\MatrixVsTensor\MatrixVsTensor\bin\Release\netcoreapp2.1\64dec387-a46a-41d6-b187-ba1d6ac23082
// command took 7.9s and exited with 0
// ***** Done, took 00:00:11 (11.45 sec)   *****
// Found 2 benchmarks:
//   ExecBench.Matrix: DefaultJob
//   ExecBench.Tensor: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ExecBench.Matrix: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "64dec387-a46a-41d6-b187-ba1d6ac23082.dll" --benchmarkName "Program+Harness+ExecBench.Matrix" --job "Default" --benchmarkId 0 in C:\Users\joffrey.dalet\Source\Repos\GIT\Git\fsharptests\MatrixVsTensor\MatrixVsTensor\bin\Release\netcoreapp2.1\64dec387-a46a-41d6-b187-ba1d6ac23082\bin\Release\netcoreapp2.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.1.11 (CoreCLR 4.6.27617.04, CoreFX 4.6.27617.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 353948.88 ns, 353.9489 us/op
WorkloadJitting  1: 1 op, 102444006.72 ns, 102.4440 ms/op

WorkloadPilot    1: 2 op, 199883756.97 ns, 99.9419 ms/op
WorkloadPilot    2: 3 op, 299168909.27 ns, 99.7230 ms/op
WorkloadPilot    3: 4 op, 399154334.91 ns, 99.7886 ms/op
WorkloadPilot    4: 5 op, 499272014.84 ns, 99.8544 ms/op
WorkloadPilot    5: 6 op, 599501421.81 ns, 99.9169 ms/op

WorkloadWarmup   1: 6 op, 599596140.52 ns, 99.9327 ms/op
WorkloadWarmup   2: 6 op, 599621946.24 ns, 99.9370 ms/op
WorkloadWarmup   3: 6 op, 599441599.46 ns, 99.9069 ms/op
WorkloadWarmup   4: 6 op, 599433095.30 ns, 99.9055 ms/op
WorkloadWarmup   5: 6 op, 599467405.18 ns, 99.9112 ms/op
WorkloadWarmup   6: 6 op, 599353332.18 ns, 99.8922 ms/op

// BeforeActualRun
WorkloadActual   1: 6 op, 599827218.99 ns, 99.9712 ms/op
WorkloadActual   2: 6 op, 599158323.06 ns, 99.8597 ms/op
WorkloadActual   3: 6 op, 600085276.17 ns, 100.0142 ms/op
WorkloadActual   4: 6 op, 599273569.05 ns, 99.8789 ms/op
WorkloadActual   5: 6 op, 599881176.40 ns, 99.9802 ms/op
WorkloadActual   6: 6 op, 599291457.11 ns, 99.8819 ms/op
WorkloadActual   7: 6 op, 599401424.65 ns, 99.9002 ms/op
WorkloadActual   8: 6 op, 599365941.79 ns, 99.8943 ms/op
WorkloadActual   9: 6 op, 599394679.98 ns, 99.8991 ms/op
WorkloadActual  10: 6 op, 599455088.81 ns, 99.9092 ms/op
WorkloadActual  11: 6 op, 599310811.39 ns, 99.8851 ms/op
WorkloadActual  12: 6 op, 599423418.16 ns, 99.9039 ms/op
WorkloadActual  13: 6 op, 600027799.80 ns, 100.0046 ms/op
WorkloadActual  14: 6 op, 599453622.58 ns, 99.9089 ms/op
WorkloadActual  15: 6 op, 599213453.46 ns, 99.8689 ms/op

// AfterActualRun
